# alvealota, 20 seqs par taxons
# pattern = ##_##
# taille learn = 80%
# nombre de validation croisée : 10
# nombre de tests : 9 ( = 9 tirages )
complete	100	74.3
complete	150	87.0
complete	200	86.0
complete	250	85.0
complete	300	81.9
1000	100	59.6
1000	150	69.4
1000	200	67.3
1000	250	80.9
1000	300	81.1
200	100	78.7
200	150	85.6
200	200	80.8
200	250	80.9
200	300	85.3
complete	100	58.7
complete	150	77.2
complete	200	81.1
complete	250	80.7
complete	300	78.4
1000	100	53.9
1000	150	69.7
1000	200	63.4
1000	250	76.2
1000	300	79.2
200	100	73.3
200	150	83.3
200	200	78.7
200	250	88.0
200	300	84.5
complete	100	72.2
complete	150	82.7
complete	200	81.8
complete	250	85.2
complete	300	80.1
1000	100	59.4
1000	150	69.2
1000	200	70.1
1000	250	73.8
1000	300	78.0
200	100	74.8
200	150	82.4
200	200	80.1
200	250	78.7
200	300	78.9
complete	100	71.6
complete	150	82.8
complete	200	81.4
complete	250	77.1
complete	300	77.8
1000	100	64.2
1000	150	64.5
1000	200	69.9
1000	250	79.9
1000	300	80.4
200	100	76.2
200	150	85.5
200	200	78.3
200	250	72.8
200	300	81.6
complete	100	69.3
complete	150	78.3
complete	200	75.3
complete	250	86.0
complete	300	81.2
1000	100	55.0
1000	150	66.9
1000	200	67.5
1000	250	76.8
1000	300	79.7
200	100	72.3
200	150	77.9
200	200	82.0
200	250	83.9
200	300	86.1
complete	100	71.0
complete	150	74.3
complete	200	89.6
complete	250	70.7
complete	300	75.6
1000	100	64.4
1000	150	70.1
1000	200	68.4
1000	250	78.8
1000	300	81.7
200	100	73.3
200	150	87.5
200	200	82.2
200	250	80.3
200	300	82.7
complete	100	72.8
complete	150	65.6
complete	200	82.4
complete	250	87.1
complete	300	82.7
1000	100	52.7
1000	150	67.0
1000	200	69.7
1000	250	78.4
1000	300	79.8
200	100	69.9
200	150	86.6
200	200	82.9
200	250	88.0
200	300	84.9
complete	100	79.0
complete	150	81.8
complete	200	78.7
complete	250	81.5
complete	300	87.6
1000	100	54.5
1000	150	62.5
1000	200	62.7
1000	250	69.5
1000	300	78.3
200	100	68.6
200	150	75.3
200	200	73.8
200	250	72.0
200	300	73.8
complete	100	74.8
complete	150	80.1
complete	200	75.9
complete	250	85.3
complete	300	81.6
1000	100	48.3
1000	150	71.4
1000	200	69.0
1000	250	82.1
1000	300	79.0
200	100	80.6
200	150	81.5
200	200	77.9
200	250	80.0
200	300	87.2
complete	350	80.0
1000	350	75.6
200	350	88.9
complete	350	74.7
1000	350	71.9
200	350	81.3
complete	350	75.6
1000	350	76.0
200	350	80.0
complete	350	77.5
1000	350	76.4
200	350	78.0
complete	350	74.3
1000	350	75.6
200	350	81.1
complete	350	84.1
1000	350	74.8
200	350	85.8
complete	350	79.5
1000	350	70.2
200	350	84.2
complete	350	75.9
1000	350	66.0
200	350	86.5
complete	350	83.0
1000	350	71.1
200	350	85.0	
